Gene_Symbol,U_statistic,P_value,FDR
METTL1,114224.0,0.010416570471698767,
HOXC8,90167.0,0.00704399965369418,
AGA,106440.5,0.3892800442350085,
PI4K2B,97330.0,0.2586532346332846,
BOD1L1,93360.5,0.045830639426156165,
MAT2B,96278.0,0.1740037131556157,
TLL1,85709.0,0.00024362658376581806,
EDC4,107488.5,0.27574807037907045,
TRIO,97148.5,0.2423072207525382,
VCAN,111247.0,0.05598079323366651,
CLEC16A,111392.5,0.052018791666232085,
MSR1,112100.0,0.03594288513876391,
CDH1,104714.0,0.6286210098856877,
MTREX,96069.0,0.15998580027600018,
DNAH5,102778.0,0.9516489995866153,
ZFYVE16,98046.0,0.33048973539741633,
RIPOR1,101608.0,0.8455492204808549,
C6,86971.0,0.0006892816536252113,
RAI14,104830.0,0.6107412228774857,
SOX30,103773.5,0.7808874396464967,
PNKP,125007.5,8.744530775877638e-07,
BEST2,104431.0,0.667608515717008,
PHLPP2,93953.5,0.0618493402243668,
SPDL1,106504.0,0.3816832477123211,
STAU2,101583.5,0.8413602627782641,
SLC66A1,121343.5,3.832423652349228e-05,
CTNS,103992.5,0.7444131688895186,
RTN4R,112530.5,0.02840544460337744,
PHF23,118253.5,0.0005770773133997194,
CDH10,86820.0,0.00032991216283145353,
INPP4A,94558.5,0.08270953273731171,
RAB27B,98185.0,0.3458061340743511,
PSMA4,112708.5,0.02571191954250978,
MYO16,92421.5,0.027656052885216394,
LSG1,112393.0,0.030649332091249638,
PARP3,108917.0,0.16089727371577978,
TNC,96946.0,0.22494356677907057,
THAP3,115580.5,0.004261966914909548,
RIPOR3,96055.5,0.1591105595511494,
TDP1,112902.0,0.023037219333292634,
AIFM2,92354.5,0.02663885426979569,
SLC19A4P,89144.0,0.00030386070339530634,
SPATA7,99017.0,0.44668327436654287,
MED17,87944.5,0.001470751785706271,
RETSAT,88647.0,0.002470839581253506,
CAPG,117389.0,0.0011408716236914584,
AP2S1,121453.0,3.4536773843494915e-05,
USH2A,105985.5,0.4463527071135365,
ZPBP,92349.0,0.02118135053681976,
TG,108867.0,0.16418403614212607,
ADAM28,103813.5,0.7741875452832265,
BARX2,95020.5,0.10221149047966817,
DCUN1D1,97321.5,0.2578710607249649,
JADE2,103525.0,0.8228646671964757,
ZIC2,92292.0,0.025601547868268553,
LCP2,111207.5,0.05709875791807711,
TRIT1,104832.5,0.6103583682795508,
ADRB1,98107.0,0.3371450954676586,
GUCA2B,100974.0,0.36503725340733517,
CUL7,117277.0,0.001243143638685235,
CTNNA1,106881.0,0.3384780473165817,
PHKA2,95059.5,0.10401269507552752,
CNTLN,96367.5,0.18027962243107676,
EPHA3,89755.5,0.00535816728927425,
HSPA5,112462.0,0.029504971770206678,
DSG2,96331.0,0.17770017862110976,
GEMIN8,107666.0,0.25902188566427276,
OFD1,104639.5,0.6402210072676493,
GPM6B,92531.5,0.02939908344078469,
MAGEC2,110632.5,0.036170165426187076,
PREX2,88998.5,0.003176872286564044,
WDR37,91423.0,0.0155072749515658,
YTHDC2,102198.5,0.9475600825181152,
CTPS2,111005.5,0.06311005763129986,
ATP6V1H,102604.5,0.9818697212300903,
POLR2B,99830.5,0.5597591068433385,
ATOSA,104348.5,0.6863569849168534,
ARAP2,98929.0,0.4352820778940887,
TPR,106087.0,0.43322733892457554,
CP,93793.0,0.0571130214807735,
KATNIP,117503.5,0.0010444026350236969,
DTNBP1,115376.0,0.004901955868225323,
XK,92701.5,0.0322782536013593,
ANO2,89117.0,0.0034535240610111193,
FERRY3,99105.5,0.45831876326460297,
SCML1,88718.5,0.0026016034802917045,
WWC3,101862.0,0.8892137158807373,
ARHGAP6,90739.0,0.010176597196066351,
FAM184B,112049.5,0.03692984938337446,
MAP4,93376.0,0.04619984738780282,
GOPC,85315.0,0.00017336887770629607,
ROS1,109607.5,0.1193441203294801,
USP28,92520.0,0.029212554774925306,
HDAC9,97932.0,0.31826095457180237,
TSPAN17,115581.5,0.004259034075941672,
NOP16,110165.0,0.09398154631732243,
CC2D2A,88818.0,0.002794115390868832,
RRM2B,90317.5,0.007770758348138542,
ZNF800,92772.0,0.033541408344550674,
TNFRSF17,107098.0,0.315087608455771,
SNX29,93812.0,0.057657472516108005,
LMO3,92924.0,0.03640909605583471,
MRPS10,104127.0,0.7222868203974007,
GUCA1A,107166.5,0.24979776114567864,
RSF1,97768.5,0.30124648955098243,
VPS13D,92154.5,0.023792030001659272,
CELF2,91095.0,0.012703285874411012,
FAM120A,108140.0,0.21784487000025943,
R3HDM1,102008.5,0.9145607370122347,
COL9A2,114131.5,0.01103864373102754,
KITLG,95540.0,0.12833254295048663,
ERCC8,89961.5,0.006150263880587028,
ADAMTS6,110268.5,0.08962583734676774,
H6PD,95777.5,0.14188309234669455,
VAMP3,83372.0,2.921217679183298e-05,
PER3,93259.5,0.043485229310042485,
